row ID,row m/z,row retention time,G72746_10x_3ul_BB3_01_17887.mzXML Peak area,G73645_BC6_01_18671.mzXML Peak area,G75179_5x_RB2_01_17259.mzXML Peak area,G72708_10x_BC10_01_17818.mzXML Peak area,G73640_BB6_01_18655.mzXML Peak area,G72711_10x_BH9_01_17937.mzXML Peak area,G73942_1x_BD12_01_17303.mzXML Peak area,G72517_10x_BH10_01_17938.mzXML Peak area,G79618_5x_RG5_01_17969.mzXML Peak area,G73644_p5_d5_15ul_GD4_01_21649.mzXML Peak area,G78968_BB9_01_18660.mzXML Peak area,G73949_1x_BC12_01_17290.mzXML Peak area,G79473_5x_RE10_01_18233.mzXML Peak area,G75172_1x_BH11_01_17354.mzXML Peak area,G73437_1x_rerun_BE4_01_17364.mzXML Peak area,G72745_10x_BD4_01_17825.mzXML Peak area,G78944_BB8_01_18659.mzXML Peak area,G75697_rerun_BG7_01_18771.mzXML Peak area,G75696_BA7_01_18642.mzXML Peak area,G75212_1x_BC3_01_17282.mzXML Peak area,G78948_rerun_BD11_01_18712.mzXML Peak area,G78942_rerun_BH9_01_18781.mzXML Peak area,G72441_1x_BA6_01_17274.mzXML Peak area,G79584_5x_RH6_01_18243.mzXML Peak area,
1,365.10542824733074,0.29125555555555555,2014273.0435000004,916.4170000000004,341159.17550000007,116256.88099999996,283.3760000000002,332767.422,101408.21599999997,90686.3715,253.82699999999994,8021.774499999995,35941.019,167779.62150000004,1455.1515000000002,8866.552,9519.301,841313.419,597.46,43046.84100000001,1942.3825000000004,93791.079,1403.6644999999987,1069.785500000001,39881.9065,7089.112499999998,
3,311.0802493559537,4.375567361111111,842333.9295000101,967698.7174999975,516387.12599999766,1714251.5450000076,1122760.2075000054,1486155.459499994,464702.7245000011,1416682.6839999962,274704.1950000004,1867408.8579999986,1126088.7485000086,336331.40350000054,955416.7390000045,562498.6444999978,453695.1345000009,1358400.1595000091,1091264.9670000009,1183298.3535000016,1035469.1524999955,411025.8095,1070806.8989999972,1010181.9800000028,98948.98100000004,429073.0389999987,
4,520.3399903827243,6.8211868055555565,517265.38049999933,23040.269000000153,8920.894000000033,29586.903000000202,43101.68999999999,28999.72050000003,48350.96549999955,4508.5154999999895,15427.572500000078,40798.524000000114,371395.8279999988,27675.188500000062,327693.06949999824,23440.45249999987,110993.43300000005,76326.78399999994,159680.86500000014,454427.6389999994,50752.61649999988,27830.85000000011,295901.73099999933,401932.95400000084,1499927.9169999864,114057.50799999952,
6,146.98001340776023,13.13914722222222,4157098.3319999985,168033.0734999981,391394.643499998,98917.77449999977,180649.27349999757,676299.682500003,174857.42299999943,684753.4624999894,544043.3509999997,59938.95950000098,198789.28449999978,220449.10199999835,251540.11199999996,149070.5995000004,135186.84500000192,142089.2764999999,191214.96550000005,173202.84300000023,204960.56500000093,696850.8520000017,167368.09749999794,112931.98550000001,243435.30600000042,257593.57899999703,
7,325.11288063121975,0.3133275,664386.8530000002,0,961090.3725,821191.408,3252.8165000000017,294539.2155000001,356733.8529999999,701090.8150000001,279.61799999999994,2274.6960000000004,477.4435000000001,126530.8135,1171.7065000000007,7143.815499999999,62939.11550000001,82351.977,0,8682.359499999999,1104.467,514824.052,0,0,121665.0825,2076.6765000000005,
8,183.1488950363872,4.127729166666667,430686.39050000196,179116.20999999982,138320.25649999958,374550.929000001,214249.7814999989,512845.81150000007,673043.6369999939,627229.6035000024,134899.2334999993,1207274.9824999948,309732.07899999723,616149.7139999968,1070542.8464999965,605869.4304999989,554803.2144999976,512514.0214999956,307622.6594999998,788246.5774999999,232172.89049999992,460551.25150000025,268756.2469999998,364837.64250000217,259139.4780000006,511620.9425000016,
9,205.13075950970065,4.127729166666667,370030.2055000018,117835.1474999999,157399.85399999958,325784.94600000087,158108.31299999906,432284.76000000007,624268.2799999944,381400.86400000146,50473.60449999974,1056812.9959999956,302923.51849999727,583328.0259999968,794845.2174999972,440937.47049999895,333685.7834999986,378906.41299999657,231236.52149999977,504919.44800000003,203791.65050000005,452832.28450000024,156741.4529999998,204635.6395000011,93322.6145000003,157453.97150000048,
11,284.29504735381516,9.868663194444446,198697.23300000015,304802.53549999837,20007.17350000022,25982.93749999969,406464.54699999734,53801.3099999997,604381.1994999932,8094.788999999898,129831.7305000012,80879.39050000023,245550.4820000028,267651.60899999645,136548.68249999778,554035.5124999919,30634.324999999917,1243276.8280000105,593215.030999997,2498634.8710000673,740622.7020000048,267164.48249999905,254718.2599999951,1693430.7760000008,317490.0829999974,86902.16849999837,
12,274.27409310981676,5.76453125,221034.1119999994,84376.89300000004,109947.25250000012,219126.98150000066,112277.36599999995,194692.13200000091,106175.11299999886,185074.3349999997,141177.32349999953,202924.7325000015,138432.39950000044,132344.8344999999,87621.2600000001,137337.35399999982,126671.12500000035,223832.93950000056,131300.4685000007,143360.02599999987,145932.79199999906,139969.13300000134,132516.7415000008,98922.33549999955,78741.95800000061,92772.84349999961,
13,156.13819571600135,4.127729166666667,195574.10900000096,88800.3179999999,59824.78849999982,183448.6005000005,97549.63449999945,243605.3795,331710.68399999716,294083.22500000114,64582.525999999685,661456.7814999974,153604.37399999867,314982.6454999991,486275.4519999983,292505.90149999957,289337.135499999,228259.75549999796,141075.67199999953,384305.23350000003,111318.87099999994,219028.3565000001,139528.50949999978,174195.84900000104,146511.88850000032,232340.70400000075,
