row ID,row m/z,row retention time,G95984_repeat_RG10_01_31635.mzXML Peak area,G95983_RA9_01_31462.mzXML Peak area,G95982_repeat_RB8_01_31543.mzXML Peak area,G95952_BA6_01_31659.mzXML Peak area,G96383_RA9_01_31737.mzXML Peak area,G96108_RC5_01_31487.mzXML Peak area,G96130_RE9_01_31521.mzXML Peak area,G95953_BB6_01_31682.mzXML Peak area,G96194_RD5_01_31500.mzXML Peak area,G96107_repeat_RD4_01_31616.mzXML Peak area,G96384_RB6_01_31763.mzXML Peak area,G96385_RB3_01_31754.mzXML Peak area,G96195_RG6_01_31579.mzXML Peak area,G96109_repeat_RB11_01_31549.mzXML Peak area,G96196_RC6_01_31488.mzXML Peak area,G96176_repeat_RE2_01_31625.mzXML Peak area,G95954_RF12_01_31571.mzXML Peak area,G96128_repeat2_BB7_01_31703.mzXML Peak area,G96177_repeat_RG12_01_31637.mzXML Peak area,G96129_RF11_01_31570.mzXML Peak area,G96178_repeat2_RH10_01_31679.mzXML Peak area,
1,254.16104198637464,0.3869230158730158,1368442.9804999998,918266.8260000001,1110411.4760000003,1280366.6440000003,641578.0800000001,1038817.9510000001,853808.6655000002,1087247.7764999995,471375.17900000006,1274270.0650000002,528807.7719999996,475723.22200000007,875067.1765000001,1229474.0264999997,1001945.6340000001,1244040.6269999999,1293459.2925000002,1136327.981,1723692.1789999995,1128779.6524999994,1357316.9030000002,
2,232.15430362470545,0.589784126984127,1383541.9919999992,983381.4839999999,1269931.5089999996,1215293.6729999995,461855.76349999965,1113459.6829999997,896596.8785000001,1278449.1435000005,858524.8454999999,1578522.6304999997,390885.36550000013,282519.8625000002,949618.5784999996,1268808.9439999997,1023959.885,1528771.4740000006,1382757.8095000011,1048974.7934999994,1539833.3285000015,1199754.6965000005,1581351.5190000003,
3,218.1386049193532,0.3702238095238095,809466.1785000002,529977.28,653758.9730000003,688484.1710000002,294596.2295,514405.1785000001,382811.42799999996,633592.2424999998,202064.46949999998,721566.4600000001,231565.1804999999,187721.00500000003,407878.59900000005,627545.6170000002,462095.98900000006,695988.943,683773.2560000002,561054.9679999999,924649.7509999996,591310.4934999996,539587.1700000002,
4,685.2399164939413,0.2922015873015873,819943.3114999997,1398213.2275000005,1711267.6175,1390164.8959999997,2461394.088999999,1054372.602,1014285.5915000001,2006540.4775,855721.342,978847.4469999999,2261059.682000001,2216043.334499999,965312.8100000002,1249970.8225,833523.9744999999,779495.1644999998,2307878.7700000005,871167.2949999999,691273.4724999999,1026397.3410000001,719219.6664999999,
5,204.1229664030529,0.2985007936507936,1114556.2495,791291.969,984969.6895000002,973127.4004999998,553624.999,949438.0919999998,764973.76,990233.4545,369775.0755,1048237.0769999996,764370.6070000001,642528.0715,781335.6815000002,1018584.3099999998,935154.9485000004,1265106.6064999998,999960.6364999996,839763.5265000002,1776266.795999999,999786.0450000002,1242462.2974999996,
6,311.08081109752453,4.321866666666668,526619.1009999983,489470.53750000155,549079.033500002,478236.51350000146,810959.6290000034,543080.8024999994,456027.89049999963,524569.0854999989,322042.16349999886,576062.0360000018,858106.8320000032,848610.6795000072,376990.53299999883,567410.4570000013,454425.88899999566,757281.4030000011,654995.9230000007,499696.2609999958,447963.58450000384,409067.7789999962,381666.0559999997,
7,180.0654783703032,1.4772444444444444,931607.2395000012,651661.9450000003,883168.3655000004,778014.5750000003,215233.87800000006,649807.629,421784.51750000025,797926.457,75548.87650000004,1040757.2194999988,183081.41800000015,126822.75049999988,115953.70800000003,840867.7915000003,102284.10850000005,379081.0414999997,928453.9380000001,520017.7835000003,589091.2930000001,650518.3410000008,428231.6735000002,
8,220.11800648243747,0.5394785714285716,697540.152,515031.91049999994,596245.0694999996,601737.8075,185269.02599999998,528469.4245000001,390696.58950000006,556396.8085,379397.8410000002,711922.9390000002,150144.05300000025,126881.29050000006,378604.8410000001,655071.5610000003,456076.7930000002,631116.7315000003,672447.4924999997,455982.1145000003,852546.5174999997,511120.05299999914,620483.2005000007,
9,163.06010291689918,0.29851825396825393,942627.0255,1148095.499,1322140.3599999999,856284.3624999997,797677.8354999999,873478.17,944136.0600000002,1109143.6199999999,758127.5915,1194832.3324999996,730575.6340000003,686285.5154999997,830308.8605000001,849099.1995,799216.6525000001,665339.2419999999,1212297.5814999999,715495.3579999998,643398.125,916246.027,664886.284,
10,246.1699436732701,1.5520103174603177,1078844.1219999983,846266.6015000002,1077970.894000001,907100.3690000009,363540.60550000006,936051.2305,740666.421,1086311.729,692888.2485,1320960.2205,318424.1940000001,231772.77200000008,793329.3955000004,1114370.839999999,889593.975,1274739.2965000004,1072583.5925000003,898196.5134999995,1516941.8689999992,1067440.1824999999,1391060.4109999991,
12,998.0804656807323,4.931167460317461,371347.9769999989,190082.89200000028,329886.33500000165,265316.18600000266,147281.98950000133,277311.46800000226,266927.0495000021,421662.5720000029,226125.59350000136,402216.0734999994,117297.1495000009,117088.28550000001,118579.08099999915,336314.21099999937,118826.35200000004,238641.4765000005,349999.0315000007,229928.79500000045,248892.43000000005,231120.79549999957,390181.92549999815,
13,258.10998971121654,0.26538015873015874,442855.9439999999,516608.81749999995,494215.162,421872.19700000016,508227.47199999995,447104.04400000005,439925.5330000001,311990.70450000017,415609.3985,409364.4909999998,434320.6915000001,498790.29399999994,400379.70699999994,479402.1534999999,368289.2590000001,322356.7565,425960.61199999985,358987.9145000001,371456.143,459249.56350000005,270280.942,
14,1121.8835050897792,5.175434126984127,478661.3450000019,359333.42200000054,379070.1005000005,374492.9994999984,265382.95799999835,292357.46149999794,175722.87550000063,451482.46949999884,143843.0410000007,345504.30550000316,227907.92450000177,122879.40400000059,68094.86500000056,235953.62749999738,95056.54250000094,132679.94449999952,417126.88099999976,141601.47749999914,113012.714000001,177873.13149999868,245027.4129999994,
15,343.1236143566313,0.2972753968253968,1209193.173,1717172.875,2510213.6450000005,892828.3605000002,942413.2469999999,1546950.5605,967779.1415000001,1720814.3529999997,1204264.5359999998,2203786.874499999,887321.0560000001,828525.3529999998,1338372.7079999999,1722990.0914999999,1087328.4209999999,1014117.3174999999,1234945.5539999998,1046900.153,1028638.053,1196275.9755000002,1005925.9515000001,
18,202.04744368734814,1.475968253968254,603084.1595000008,383882.42800000025,506879.27200000023,686448.6345000003,272945.7945000001,395557.4419999999,302993.0305000003,595406.779,32979.04000000005,567901.9014999995,226068.21800000014,159725.27199999985,72452.59900000002,477512.3325000001,59861.52450000003,227952.84499999983,630113.7355000001,377487.4495000003,326474.35750000004,386651.88050000055,263126.94400000013,
19,702.2662876674107,0.2933920634920635,654465.9114999998,946267.5840000003,1537420.2484999998,139658.70649999997,85485.20600000002,976629.1684999998,563830.2395,510111.3285000001,742729.6780000001,1060785.6949999998,64755.4875,53747.38049999999,812719.5045000004,1247979.6065,699685.928,744112.336,282070.8,662463.3005000001,695463.6714999998,873049.9855000001,813710.242,
