sample-id,filepath
G95952,G95952_BA6_01_31659.mzXML
G95982,G95982_repeat_RB8_01_31543.mzXML
G96107,G96107_repeat_RD4_01_31616.mzXML
G96128,G96128_repeat2_BB7_01_31703.mzXML
G96176,G96176_repeat_RE2_01_31625.mzXML
G96194,G96194_RD5_01_31500.mzXML
G95953,G95953_BB6_01_31682.mzXML
G95983,G95983_RA9_01_31462.mzXML
G96108,G96108_RC5_01_31487.mzXML
G96129,G96129_RF11_01_31570.mzXML
G96177,G96177_repeat_RG12_01_31637.mzXML
G96195,G96195_RG6_01_31579.mzXML
G95954,G95954_RF12_01_31571.mzXML
G95984,G95984_repeat_RG10_01_31635.mzXML
G96109,G96109_repeat_RB11_01_31549.mzXML
G96130,G96130_RE9_01_31521.mzXML
G96178,G96178_repeat2_RH10_01_31679.mzXML
G96196,G96196_RC6_01_31488.mzXML
G96383,G96383_RA9_01_31737.mzXML
G96384,G96384_RB6_01_31763.mzXML
G96385,G96385_RB3_01_31754.mzXML
